Ship Mode,Region,Division,Factory,Product ID,Country/Region,Sales,Units,Gross Profit,Cost,Factory_Lat,Factory_Lon,Dest_Lat,Dest_Lon,Shipping_Distance_Miles,Ship Mode_enc,Region_enc,Division_enc,Factory_enc,Product ID_enc,Country/Region_enc,Sales_scaled,Units_scaled,Gross Profit_scaled,Cost_scaled,Factory_Lat_scaled,Factory_Lon_scaled,Dest_Lat_scaled,Dest_Lon_scaled,Shipping_Distance_Miles_scaled,Lead_Time
First Class,Atlantic,Other,Secret Factory,OTH-GUM-21000,United States,5.0,4,2.6,2.4,41.446333,-90.565487,40.6,-77.2,698.460334559178,0,0,1,1,6,1,-1.116867928735491,0.21544754201136698,-1.2614433769420683,-0.7727141564336638,6.261040059300088,0.5437074574315892,0.3991582415084716,0.9977622999372306,-0.8134395010979033,906
First Class,Gulf,Chocolate,Lot's O' Nuts,CHO-SCR-58000,United States,18.0,5,12.5,5.5,32.881893,-111.768036,32.7,-83.4,1642.7598582945438,0,1,0,0,3,1,0.8052652862997236,0.7381963772041257,0.8771588666122169,0.6246228696320574,0.11699526121604702,-0.8676358430165786,-1.1549901597565984,0.6422572248622732,0.6095103085221627,907
Second Class,Atlantic,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,22.5,6,14.7,7.8,32.076176,-81.088371,40.6,-77.2,627.2644398314413,2,0,0,4,4,1,1.470619091504221,1.2609452123968845,1.35240380962428,1.6613567921969472,-0.46101816903483744,1.1745497289985671,0.3991582415084716,0.9977622999372306,-0.9207234531725781,907
Second Class,Atlantic,Chocolate,Lot's O' Nuts,CHO-FUD-51000,United States,7.2,2,4.8,2.4,32.881893,-111.768036,40.6,-77.2,1972.8943441481065,2,0,0,0,0,1,-0.79158384619107,-0.8300501283741505,-0.7861984339300049,-0.7727141564336638,0.11699526121604702,-0.8676358430165786,0.3991582415084716,0.9977622999372306,1.1069846712498876,907
Second Class,Atlantic,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,11.25,3,7.35,3.9,32.076176,-81.088371,40.6,-77.2,627.2644398314413,2,0,0,4,4,1,-0.19276542150702244,-0.30730129318139177,-0.23534634089329518,-0.09658333736960521,-0.46101816903483744,1.1745497289985671,0.3991582415084716,0.9977622999372306,-0.9207234531725781,907
Second Class,Atlantic,Chocolate,Lot's O' Nuts,CHO-SCR-58000,United States,10.8,3,7.5,3.3,32.881893,-111.768036,40.6,-77.2,1972.8943441481065,2,0,0,0,3,1,-0.2593008020274721,-0.30730129318139177,-0.20294327659701802,-0.3670356649952287,0.11699526121604702,-0.8676358430165786,0.3991582415084716,0.9977622999372306,1.1069846712498876,907
Second Class,Pacific,Chocolate,Lot's O' Nuts,CHO-NUT-13000,United States,13.96,4,9.96,4.0,32.881893,-111.768036,44.1,-120.5,906.3944629738116,2,3,0,0,2,1,0.20792542562724167,0.21544754201136698,0.32846697786192575,-0.05150794943200127,0.11699526121604702,-0.8676358430165786,1.0877050015626166,-1.4850392727636805,-0.5001068974016679,908
First Class,Pacific,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,18.75,5,12.25,6.5,32.076176,-81.088371,34.3,-111.1,1735.881629289095,0,3,0,4,4,1,0.9161575871671399,0.7381963772041257,0.8231537594517552,1.0753767490080963,-0.46101816903483744,1.1745497289985671,-0.8402259265889902,-0.9460477073274546,0.7498340119420475,906
First Class,Pacific,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,18.75,5,12.25,6.5,32.076176,-81.088371,34.3,-111.1,1735.881629289095,0,3,0,4,4,1,0.9161575871671399,0.7381963772041257,0.8231537594517552,1.0753767490080963,-0.46101816903483744,1.1745497289985671,-0.8402259265889902,-0.9460477073274546,0.7498340119420475,906
First Class,Pacific,Chocolate,Lot's O' Nuts,CHO-FUD-51000,United States,14.4,4,9.6,4.8,32.881893,-111.768036,34.3,-111.1,105.25594434527244,0,3,0,0,0,1,0.27298224213612576,0.21544754201136698,0.25069962355086056,0.3090951540688299,0.11699526121604702,-0.8676358430165786,-0.8402259265889902,-0.9460477073274546,-1.7073296841424288,906
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,11.25,3,7.35,3.9,32.076176,-81.088371,34.8,-92.2,667.315078944181,3,1,0,4,4,1,-0.19276542150702244,-0.30730129318139177,-0.23534634089329518,-0.09658333736960521,-0.46101816903483744,1.1745497289985671,-0.7418621037241124,0.13766937636878565,-0.8603717873418052,911
Standard Class,Interior,Chocolate,Lot's O' Nuts,CHO-FUD-51000,United States,10.8,3,7.2,3.6,32.881893,-111.768036,44.3,-85.4,1617.5751554376207,3,2,0,0,0,1,-0.2593008020274721,-0.30730129318139177,-0.2677494051895721,-0.23180950118241686,0.11699526121604702,-0.8676358430165786,1.127050530708567,0.5275781683864805,0.5715598836465491,911
Standard Class,Interior,Chocolate,Lot's O' Nuts,CHO-FUD-51000,United States,10.8,3,7.2,3.6,32.881893,-111.768036,44.3,-85.4,1617.5751554376207,3,2,0,0,0,1,-0.2593008020274721,-0.30730129318139177,-0.2677494051895721,-0.23180950118241686,0.11699526121604702,-0.8676358430165786,1.127050530708567,0.5275781683864805,0.5715598836465491,911
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,13.0,4,8.44,4.56,32.076176,-81.088371,34.8,-92.2,667.315078944181,3,1,0,4,1,1,0.06598328051694877,0.21544754201136698,0.000115926326318019,0.20091422301858045,-0.46101816903483744,1.1745497289985671,-0.7418621037241124,0.13766937636878565,-0.8603717873418052,911
Standard Class,Pacific,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,6.5,2,4.22,2.28,32.076176,-81.088371,36.8,-119.4,2192.70126305183,3,3,0,4,1,1,-0.8950833270006586,-0.8300501283741505,-0.9114902825422762,-0.8268046219587886,-0.46101816903483744,1.1745497289985671,-0.34840681226460096,-1.4219657917019948,1.4382081925432015,910
Standard Class,Interior,Chocolate,Lot's O' Nuts,CHO-FUD-51000,United States,14.4,4,9.6,4.8,32.881893,-111.768036,44.3,-85.4,1617.5751554376207,3,2,0,0,0,1,0.27298224213612576,0.21544754201136698,0.25069962355086056,0.3090951540688299,0.11699526121604702,-0.8676358430165786,1.127050530708567,0.5275781683864805,0.5715598836465491,911
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,26.25,7,17.15,9.1,32.076176,-81.088371,34.8,-92.2,667.315078944181,3,1,0,4,4,1,2.025080595841302,1.7836940475896432,1.881653859796805,2.247336835385798,-0.46101816903483744,1.1745497289985671,-0.7418621037241124,0.13766937636878565,-0.8603717873418052,911
Standard Class,Gulf,Chocolate,Lot's O' Nuts,CHO-SCR-58000,United States,10.8,3,7.5,3.3,32.881893,-111.768036,34.8,-92.2,1128.9597470807196,3,1,0,0,3,1,-0.2593008020274721,-0.30730129318139177,-0.20294327659701802,-0.3670356649952287,0.11699526121604702,-0.8676358430165786,-0.7418621037241124,0.13766937636878565,-0.16472683981655614,911
Standard Class,Interior,Chocolate,Lot's O' Nuts,CHO-NUT-13000,United States,10.47,3,7.47,3.0,32.881893,-111.768036,44.3,-85.4,1617.5751554376207,3,2,0,0,2,1,-0.30809341440913524,-0.30730129318139177,-0.2094238894562735,-0.5022618288080404,0.11699526121604702,-0.8676358430165786,1.127050530708567,0.5275781683864805,0.5715598836465491,911
Standard Class,Interior,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,16.25,5,10.55,5.7,32.076176,-81.088371,44.3,-85.4,876.1053001135563,3,2,0,4,1,1,0.5465165842757524,0.7381963772041257,0.4559190307606154,0.7147736455072653,-0.46101816903483744,1.1745497289985671,1.127050530708567,0.5275781683864805,-0.5457491512016709,911
Standard Class,Gulf,Chocolate,Lot's O' Nuts,CHO-NUT-13000,United States,3.49,1,2.49,1.0,32.881893,-111.768036,35.9,-86.7,1440.3887080579373,3,1,0,0,2,1,-1.340131094481889,-1.352798963566909,-1.2852056240926715,-1.4037695875601186,0.11699526121604702,-0.8676358430165786,-0.5254616934213808,0.4530367816772155,0.30456046743501075,911
Standard Class,Interior,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,18.75,5,12.25,6.5,32.076176,-81.088371,44.3,-85.4,876.1053001135563,3,2,0,4,4,1,0.9161575871671399,0.7381963772041257,0.8231537594517552,1.0753767490080963,-0.46101816903483744,1.1745497289985671,1.127050530708567,0.5275781683864805,-0.5457491512016709,911
Standard Class,Gulf,Chocolate,Lot's O' Nuts,CHO-FUD-51000,United States,10.8,3,7.2,3.6,32.881893,-111.768036,34.8,-92.2,1128.9597470807196,3,1,0,0,0,1,-0.2593008020274721,-0.30730129318139177,-0.2677494051895721,-0.23180950118241686,0.11699526121604702,-0.8676358430165786,-0.7418621037241124,0.13766937636878565,-0.16472683981655614,911
Standard Class,Pacific,Chocolate,Lot's O' Nuts,CHO-SCR-58000,United States,7.2,2,5.0,2.2,32.881893,-111.768036,36.8,-119.4,510.2265735683594,3,3,0,0,3,1,-0.79158384619107,-0.8300501283741505,-0.7429943482016355,-0.8628649323088715,0.11699526121604702,-0.8676358430165786,-0.34840681226460096,-1.4219657917019948,-1.097085937036398,910
Standard Class,Interior,Chocolate,Lot's O' Nuts,CHO-FUD-51000,United States,3.6,1,2.4,1.2,32.881893,-111.768036,44.3,-85.4,1617.5751554376207,3,2,0,0,0,1,-1.323866890354668,-1.352798963566909,-1.3046474626704376,-1.3136188116849106,0.11699526121604702,-0.8676358430165786,1.127050530708567,0.5275781683864805,0.5715598836465491,911
Standard Class,Interior,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,6.5,2,4.22,2.28,32.076176,-81.088371,44.3,-85.4,876.1053001135563,3,2,0,4,1,1,-0.8950833270006586,-0.8300501283741505,-0.9114902825422762,-0.8268046219587886,-0.46101816903483744,1.1745497289985671,1.127050530708567,0.5275781683864805,-0.5457491512016709,911
Standard Class,Gulf,Chocolate,Lot's O' Nuts,CHO-FUD-51000,United States,25.2,7,16.8,8.4,32.881893,-111.768036,34.8,-92.2,1128.9597470807196,3,1,0,0,0,1,1.8698313746269193,1.7836940475896432,1.806046709772159,1.9318091198225709,0.11699526121604702,-0.8676358430165786,-0.7418621037241124,0.13766937636878565,-0.16472683981655614,911
Second Class,Gulf,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,11.25,3,7.35,3.9,32.076176,-81.088371,27.8,-81.5,296.4837210723361,2,1,0,4,4,1,-0.19276542150702244,-0.30730129318139177,-0.23534634089329518,-0.09658333736960521,-0.46101816903483744,1.1745497289985671,-2.118955623832402,0.7512023285142766,-1.4191716139027364,907
Standard Class,Atlantic,Chocolate,Lot's O' Nuts,CHO-FUD-51000,Canada,18.0,5,12.0,6.0,32.881893,-111.768036,51.3,-85.3,1841.5649283593687,3,0,0,0,0,0,0.8052652862997236,0.7381963772041257,0.7691486522912934,0.8499998093200769,0.11699526121604702,-0.8676358430165786,2.504144050816857,0.5333121212102707,0.909086480583777,908
Standard Class,Atlantic,Chocolate,Wicked Choccy's,CHO-MIL-31000,Canada,3.25,1,2.11,1.14,32.076176,-81.088371,51.3,-85.3,1345.348262641967,3,0,0,4,1,0,-1.3756166307594622,-1.352798963566909,-1.3672933869765733,-1.3406640444474731,-0.46101816903483744,1.1745497289985671,2.504144050816857,0.5333121212102707,0.16134554429716885,908
Standard Class,Atlantic,Chocolate,Wicked Choccy's,CHO-TRI-54000,Canada,18.75,5,12.25,6.5,32.076176,-81.088371,51.3,-85.3,1345.348262641967,3,0,0,4,4,0,0.9161575871671399,0.7381963772041257,0.8231537594517552,1.0753767490080963,-0.46101816903483744,1.1745497289985671,2.504144050816857,0.5333121212102707,0.16134554429716885,908
Standard Class,Atlantic,Chocolate,Lot's O' Nuts,CHO-FUD-51000,Canada,3.6,1,2.4,1.2,32.881893,-111.768036,51.3,-85.3,1841.5649283593687,3,0,0,0,0,0,-1.323866890354668,-1.352798963566909,-1.3046474626704376,-1.3136188116849106,0.11699526121604702,-0.8676358430165786,2.504144050816857,0.5333121212102707,0.909086480583777,908
Standard Class,Interior,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,11.25,3,7.35,3.9,32.076176,-81.088371,39.9,-86.3,613.8071404412198,3,2,0,4,4,1,-0.19276542150702244,-0.30730129318139177,-0.23534634089329518,-0.09658333736960521,-0.46101816903483744,1.1745497289985671,0.26144888949764206,0.4759725929723744,-0.9410020418237384,909
Standard Class,Pacific,Chocolate,Lot's O' Nuts,CHO-FUD-51000,United States,21.6,6,14.4,7.2,32.881893,-111.768036,39.5,-116.9,539.1989803595019,3,3,0,0,0,1,1.3375483304633218,1.2609452123968845,1.2875976810317262,1.3909044645713238,0.11699526121604702,-0.8676358430165786,0.18275783120574005,-1.278616971107254,-1.0534278818415668,910
First Class,Interior,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,7.5,2,4.9,2.6,32.076176,-81.088371,44.4,-100.2,1336.0573894359231,0,2,0,4,4,1,-0.7472269258441036,-0.8300501283741505,-0.7645963910658201,-0.6825633805584559,-0.46101816903483744,1.1745497289985671,1.1467232952815427,-0.32104684953438506,0.14734527645053452,908
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,9.75,3,6.33,3.42,32.076176,-81.088371,37.5,-79.5,385.42109118225153,3,1,0,4,1,1,-0.4145500232418549,-0.30730129318139177,-0.455687178107979,-0.31294519947010396,-0.46101816903483744,1.1745497289985671,-0.2106974602537714,0.8658813849900693,-1.285153317075257,910
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,9.75,3,6.33,3.42,32.076176,-81.088371,37.5,-79.5,385.42109118225153,3,1,0,4,1,1,-0.4145500232418549,-0.30730129318139177,-0.455687178107979,-0.31294519947010396,-0.46101816903483744,1.1745497289985671,-0.2106974602537714,0.8658813849900693,-1.285153317075257,910
First Class,Interior,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,7.5,2,4.9,2.6,32.076176,-81.088371,44.4,-100.2,1336.0573894359231,0,2,0,4,4,1,-0.7472269258441036,-0.8300501283741505,-0.7645963910658201,-0.6825633805584559,-0.46101816903483744,1.1745497289985671,1.1467232952815427,-0.32104684953438506,0.14734527645053452,908
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,6.5,2,4.22,2.28,32.076176,-81.088371,37.5,-79.5,385.42109118225153,3,1,0,4,1,1,-0.8950833270006586,-0.8300501283741505,-0.9114902825422762,-0.8268046219587886,-0.46101816903483744,1.1745497289985671,-0.2106974602537714,0.8658813849900693,-1.285153317075257,910
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-TRI-54000,United States,11.25,3,7.35,3.9,32.076176,-81.088371,37.5,-79.5,385.42109118225153,3,1,0,4,4,1,-0.19276542150702244,-0.30730129318139177,-0.23534634089329518,-0.09658333736960521,-0.46101816903483744,1.1745497289985671,-0.2106974602537714,0.8658813849900693,-1.285153317075257,910
Standard Class,Gulf,Chocolate,Wicked Choccy's,CHO-MIL-31000,United States,26.0,8,16.88,9.12,32.076176,-81.088371,37.5,-79.5,385.42109118225153,3,1,0,4,1,1,1.9881164955521635,2.306442882782402,1.8233283440635064,2.2563519129733183,-0.46101816903483744,1.1745497289985671,-0.2106974602537714,0.8658813849900693,-1.285153317075257,910
Standard Class,Gulf,Chocolate,Lot's O' Nuts,CHO-FUD-51000,United States,7.2,2,4.8,2.4,32.881893,-111.768036,37.5,-79.5,1840.5248157305537,3,1,0,0,0,1,-0.79158384619107,-0.8300501283741505,-0.7861984339300049,-0.7727141564336638,0.11699526121604702,-0.8676358430165786,-0.2106974602537714,0.8658813849900693,0.9075191515425622,910
